"engine","province","sex","year","age","population_count","population_count_pohem","all_count","relative_difference"
"CANSIM","New Brunswick","Male",2001,"[40,45[",31651,31651,0,0
"CANSIM","New Brunswick","Male",2001,"[45,50[",29365,29365,0,0
"CANSIM","New Brunswick","Male",2001,"[50,55[",27617,27617,0,0
"CANSIM","New Brunswick","Male",2001,"[55,60[",20864,20864,0,0
"CANSIM","New Brunswick","Male",2001,"[60,65[",16194,16194,0,0
"CANSIM","New Brunswick","Male",2001,"[65,70[",13359,13359,0,0
"CANSIM","New Brunswick","Male",2001,"[70,75[",10987,10987,0,0
"CANSIM","New Brunswick","Male",2001,"[75,80[",8763,8763,0,0
"CANSIM","New Brunswick","Male",2001,"[80,85[",5387,5387,0,0
"CANSIM","New Brunswick","Male",2001,"[85,90[",2587,2587,0,0
"CANSIM","New Brunswick","Male",2001,"[90,95[",808,808,0,0
"CANSIM","New Brunswick","Male",2001,"[95,100[",146,146,0,0
"CANSIM","New Brunswick","Male",2001,"[100,max[",24,24,0,0
"CANSIM","New Brunswick","Female",2001,"All",379258,379258,1,0
"CANSIM","New Brunswick","Female",2001,"[0,5[",18526,18526,0,0
"CANSIM","New Brunswick","Female",2001,"[5,10[",21567,21567,0,0
"CANSIM","New Brunswick","Female",2001,"[10,15[",23532,23532,0,0
"CANSIM","New Brunswick","Female",2001,"[15,20[",24965,24965,0,0
"CANSIM","New Brunswick","Female",2001,"[20,25[",24730,24730,0,0
"CANSIM","New Brunswick","Female",2001,"[25,30[",24768,24768,0,0
"CANSIM","New Brunswick","Female",2001,"[30,35[",25895,25895,0,0
"CANSIM","New Brunswick","Female",2001,"[35,40[",31199,31199,0,0
"CANSIM","New Brunswick","Female",2001,"[40,45[",31702,31702,0,0
"CANSIM","New Brunswick","Female",2001,"[45,50[",30161,30161,0,0
"CANSIM","New Brunswick","Female",2001,"[50,55[",27624,27624,0,0
"CANSIM","New Brunswick","Female",2001,"[55,60[",20556,20556,0,0
"CANSIM","New Brunswick","Female",2001,"[60,65[",16471,16471,0,0
"CANSIM","New Brunswick","Female",2001,"[65,70[",14617,14617,0,0
"CANSIM","New Brunswick","Female",2001,"[70,75[",13430,13430,0,0
"CANSIM","New Brunswick","Female",2001,"[75,80[",12127,12127,0,0
"CANSIM","New Brunswick","Female",2001,"[80,85[",8988,8988,0,0
"CANSIM","New Brunswick","Female",2001,"[85,90[",5377,5377,0,0
"CANSIM","New Brunswick","Female",2001,"[90,95[",2311,2311,0,0
"CANSIM","New Brunswick","Female",2001,"[95,100[",599,599,0,0
"CANSIM","New Brunswick","Female",2001,"[100,max[",113,113,0,0
"CANSIM","Quebec","All",2001,"All",7396456,7396456,2,0
"CANSIM","Quebec","All",2001,"[0,5[",381919,381919,1,0
"CANSIM","Quebec","All",2001,"[5,10[",460772,460772,1,0
"CANSIM","Quebec","All",2001,"[10,15[",463039,463039,1,0
"CANSIM","Quebec","All",2001,"[15,20[",467515,467515,1,0
"CANSIM","Quebec","All",2001,"[20,25[",515656,515656,1,0
"CANSIM","Quebec","All",2001,"[25,30[",473546,473546,1,0
"CANSIM","Quebec","All",2001,"[30,35[",503069,503069,1,0
"CANSIM","Quebec","All",2001,"[35,40[",623352,623352,1,0
"CANSIM","Quebec","All",2001,"[40,45[",653318,653318,1,0
"CANSIM","Quebec","All",2001,"[45,50[",590217,590217,1,0
"CANSIM","Quebec","All",2001,"[50,55[",530422,530422,1,0
"CANSIM","Quebec","All",2001,"[55,60[",436368,436368,1,0
"CANSIM","Quebec","All",2001,"[60,65[",333012,333012,1,0
"CANSIM","Quebec","All",2001,"[65,70[",291925,291925,1,0
"CANSIM","Quebec","All",2001,"[70,75[",257444,257444,1,0
"CANSIM","Quebec","All",2001,"[75,80[",198583,198583,1,0
"CANSIM","Quebec","All",2001,"[80,85[",121813,121813,1,0
"CANSIM","Quebec","All",2001,"[85,90[",64486,64486,1,0
"CANSIM","Quebec","All",2001,"[90,95[",23752,23752,1,0
"CANSIM","Quebec","All",2001,"[95,100[",5475,5475,1,0
"CANSIM","Quebec","All",2001,"[100,max[",773,773,1,0
"CANSIM","Quebec","Male",2001,"All",3647738,3647738,1,0
"CANSIM","Quebec","Male",2001,"[0,5[",196598,196598,0,0
"CANSIM","Quebec","Male",2001,"[5,10[",235435,235435,0,0
"CANSIM","Quebec","Male",2001,"[10,15[",236826,236826,0,0
"CANSIM","Quebec","Male",2001,"[15,20[",240328,240328,0,0
"CANSIM","Quebec","Male",2001,"[20,25[",264739,264739,0,0
"CANSIM","Quebec","Male",2001,"[25,30[",242920,242920,0,0
"CANSIM","Quebec","Male",2001,"[30,35[",257180,257180,0,0
"CANSIM","Quebec","Male",2001,"[35,40[",317219,317219,0,0
"CANSIM","Quebec","Male",2001,"[40,45[",327658,327658,0,0
"CANSIM","Quebec","Male",2001,"[45,50[",292784,292784,0,0
"CANSIM","Quebec","Male",2001,"[50,55[",262174,262174,0,0
"CANSIM","Quebec","Male",2001,"[55,60[",214626,214626,0,0
"CANSIM","Quebec","Male",2001,"[60,65[",161242,161242,0,0
"CANSIM","Quebec","Male",2001,"[65,70[",136914,136914,0,0
"CANSIM","Quebec","Male",2001,"[70,75[",113600,113600,0,0
"CANSIM","Quebec","Male",2001,"[75,80[",79701,79701,0,0
"CANSIM","Quebec","Male",2001,"[80,85[",42510,42510,0,0
"CANSIM","Quebec","Male",2001,"[85,90[",18813,18813,0,0
"CANSIM","Quebec","Male",2001,"[90,95[",5392,5392,0,0
"CANSIM","Quebec","Male",2001,"[95,100[",972,972,0,0
